titles,years,months,bodyTexts,country
Vintage Wine Estates And Firesteed Cellars Announce Partnership With One Tree Planted,2021,03,"PR Newswire
 Vintage Wine Estates and its flagship Oregon Pinot Noir brand, Firesteed Cellars, have entered a partnership with One Tree Planted, a 501(c)(3) non-profit organization based in Vermont. One Tree Planted specializes in global reforestation projects both domestically and internationally.
<url normalizedValue=""https://mma.prnewswire.com/media/1471420/Firesteed.jpg""/>
""We are proud to align with One Tree Planted in restoration and replanting,"" explained Katie Sadler, Brand Manager.
""As a leading producer of Oregon Pinot Noir, and with the recent fires across the west coast and in Firesteed's backyard of the Willamette Valley close to our hearts, it was important to us to find a partner that would allow us to give back to the environment in the Pacific Northwest and beyond,"" explained Katie Sadler, Brand Manager for Firesteed.
The inaugural year of partnership includes a $10,000 donation that will help sponsor a total of five regional tree planting projects occurring in Colorado, Michigan, and Oregon. Elements of these projects include biodiversity &amp; habitat restoration, forest fire restoration, watershed restoration, and climate stability.
""With One Tree Planted, we were able to work closely with them to hand select projects to support in Firesteed's home State of Oregon, as well as other key regions, and we are proud to be part of these tree plantings going on now through 2021."" said Sadler. ""Looking ahead, we hope to expand our partnership with One Tree Planted and our contributions to these important projects.""
Firesteed was founded in 1992 and is dedicated to producing distinctive wines showcasing select vineyards spanning Oregon's most desirable winegrowing regions. Its Erratic Oaks Estate Vineyard was planted in 2006 and is named for the erratically shaped oak tree and its branches at the top elevation of the vineyard. Erratic Oaks Vineyard was both LIVE and Salmon Safe certified in 2020 and is a primary source for Firesteed's nationally distributed Pinot Noir, Pinot Gris, and Riesling. It is in the spirit of our evergreen roots in Oregon, as well as our dedication to being stewards of the environment in the vineyard and beyond, that Firesteed is proud to partner with One Tree Planted and its cause.
About Vintage Wine EstatesVintage Wine Estates is a family of wineries and wines whose singular focus is producing the finest quality wines and incredible customer experiences with wineries throughout Napa, Sonoma, California's Central Coast, Oregon, and Washington State. Since its founding 20 years ago, the Company has become a top 15 U.S. wine producer via organic and acquisitive growth, today selling nearly 2 million nine-liter equivalent cases annually. To achieve this growth, the Company curates, creates, stewards, and markets its many brands and services to customers and end consumers via a balanced omni-channel strategy encompassing direct-to-consumer, wholesale and exclusive brands arrangements with national retailers. VWE is diverse across price points and varietals with over 50 brands ranging from US$10-$150 at retail, with the majority selling in the US$12-$20 price range. For more information, visit<url normalizedValue=""http://www.vintagewineestates.com"">http://www.vintagewineestates.com</url>.
About One Tree PlantedOne Tree Planted is an environmental charity dedicated to making it easier for individuals and businesses to give back to the environment, create a healthier climate, protect biodiversity, and help reforestation efforts around the world. Founded in 2014, they have more than doubled the number of trees planted year over year. Fast-forward to today, they now work with reforestation partners in North America, South America, Asia, and Africa who assist in planting trees to restore forests after fires and floods, create jobs, build communities, and protect habitat for biodiversity. In 2019, they planted over 4 million trees and continue to grow.<br/><url normalizedValue=""http://www.onetreeplanted.org"">http://www.onetreeplanted.org</url>
Media contact:
Mary Ann Vangrin<br/>Director of Communications<br/>Vintage Wine Estates<br/><email normalizedValue=""mailto:mvangrin@vintagewineestates.com"">mvangrin@vintagewineestates.com</email>
<url normalizedValue=""https://c212.net/c/img/favicon.png?sn=SF18150&amp;sd=2021-03-22""/> View original content to download multimedia:http://www.prnewswire.com/news-releases/vintage-wine-estates-and-firesteed-cellars-announce-partnership-with-one-tree-planted-301253300.html
SOURCE Vintage Wine Estates
<url normalizedValue=""https://rt.prnewswire.com/rt.gif?NewsItemId=SF18150&amp;Transmission_Id=202103222048PR_NEWS_USPR_____SF18150&amp;DateId=20210322""/>",US
CWU RESEARCHERS STUDY REGIONAL POLLUTION USING ICE CORE FROM NORTH CASCADES,2020,06,"ELLENSBURG, Wash., June 18 -- Central Washington University issued the following news release:
Using ice core samples retrieved from the South Cascade Glacier, CWU researchers have been able to reconstruct black carbon concentrations in the atmosphere spanning the period 1840-1991. Ice cores provide invaluable information that is used to determine past climate and environmental conditions.
""This is only the second study to publish a deep ice core record from the lower 48 states,"" said Susan Kaspari, CWU geological sciences professor, who led the research. ""It's unusual to get valuable environmental records from glaciers that are low elevation, but the black carbon record is less affected by melt, so the record stayed well preserved. We were also really lucky to be able to date the core well. One of the ways we dated the ice core was from an ash horizon from the 1980 Mt. St. Helens eruption.""
Black carbon, also referred to as soot, comes from gas and diesel engines, coal-fired power plants, wildfires, and other sources. It's a major component of air pollution and an important contributor to climate change.
Kaspari and her team found that black carbon concentrations were highest during the period 1940-1960 when black carbon was 16 times higher than during pre-industrial times. The dramatic increase is attributed to domestic coal burning and forest fire emissions during those two-decades.
Kaspari and previous CWU Master of Science student Dan Pittenger, the journal article's co-author, drill a shallow ice core on South Cascade Glacier in 2014.Interestingly, the South Cascade ice core showed the period of peak black carbon concentrations in Washington was later than other regions that industrialized earlier, such as the United States' East Coast and Europe due to the relatively small population in the Evergreen State before World War II.
The ice core from the South Cascade Glacier, a small valley glacier in the North Cascades Range, was collected by United States Geological Survey scientists in 1994 and was stored at the National Ice Core Laboratory until 2013 when Kaspari and her team gained access to it.
""We're also using the ice core record to tell us about the factors contributing to glacier and snowmelt in the region,"" she pointed. ""When black carbon is deposited on snow and glacier surfaces, it darkens the surface and causes more energy from the sun to be absorbed, leading to faster melt.""
The CWU research is gaining national attention. It will be published in the June 16 issue of the Journal of Geophysical Research Atmospheres. For any query with respect to this article or any other content requirement, please contact Editor at <email normalizedValue=""mailto:contentservices@htlive.com"">contentservices@htlive.com</email>",US
Wildfire danger diminished,2020,04,"April 21--     Apr. 21--A damp winter and early spring has western North Carolina in good shape as the National Oceanic and Atmospheric Administration shows the region has no instances of drought.
That's also good news for N.C. Forest Service firefighters as the risk of wildfire continues to decrease.
A ban on open burning issued April 3 because of hazardous forest-fire conditions was lifted Monday, and the process for obtaining a burn permit is again open. While burn permits are available, state officials are asking people to be aware of the risks when burning yard debris and to consider putting it off through the end of May because careless burning is a leading cause of wildfires in the state, Agriculture Commissioner Steve Troxler said in a press release.
""Recent rainfall across the state, especially in our western counties, has helped with dry conditions, but it is important to remember that we are still in the midst of spring wildfire season and the COVID-19 pandemic,"" Troxler said. ""Preventing escaped debris burns is something each of us can do to protect our communities and our first responders.""
Burn permits are available only online because all Forest Service offices are closed to the public because of COVID-19. Burn permits issued before the ban went into effect on April 3 were canceled, so residents who had one of those permits now have to obtain a new one before burning.
The National Weather Service's spring outlook shows an increased likelihood of above-normal temperatures through the end of May, bringing with them the slightly increased chance of above-normal rainfall. That continues a trend over the last six months of above-normal rainfall over the central and western parts of the state.
According to Forest Service data, wind speeds of more than 10 miles per hour, a relative humidity of less than 25 percent and temperatures above 60 degrees greatly influence the behavior of fire in the Blue Ridge Escarpment.
Through the first 20 days of April, the Forest Service has fought 496 fires that burned more than 1,000 acres. So far this year, NCFS has documented 1,420 fires covering 6,382.4 acres.
___ (c)2020 the News-Topic (Lenoir, N.C.) Visit the News-Topic (Lenoir, N.C.) at <url normalizedValue=""http://www.newstopic.net"">http://www.newstopic.net</url>/ Distributed by Tribune Content Agency, LLC.",US
MEMBER OF TIMBER POACHING GROUP THAT SET OLYMPIC NATIONAL FOREST WILDFIRE SENTENCED TO 2 1/2 YEARS IN PRISON,2020,09,"TACOMA, Wash., Sept. 21 -- The U.S. Department of Justice's U.S. Attorney's office for Western District of Washington issued the following press release:
One of two men charged in a scheme to steal maple wood that resulted in a massive 2018 forest fire on the Olympic Peninsula was sentenced to prison today in U.S. District Court in Tacoma, announced U.S. Attorney Brian T. Moran. SHAWN EDWARD WILLIAMS, 49, was sentenced to 30 months in prison and three years of supervised release for theft of public property and setting timber afire. At the sentencing hearing, U.S. District Judge Benjamin H. Settle said that ""the consequences of your actions . . . resulted in horrendous consequences to the forests.""
According to records filed in the case, between April and August 2018, lead defendant Justin Andrew Wilke conducted an illegal logging operation in the Elk Lake area of the Olympic National Forest, near Hood Canal. In July 2018, just days after his release from state prison, WILLIAMS joined the conspiracy, helping Wilke remove maple from the National Forest and transporting it with Wilke to a mill in Tumwater, Washington. The type of maple harvested by the defendants is highly prized and used to produce musical instruments.
On August 3, 2018, the group decided to cut a maple tree that contained a wasp's nest near the base of the tree. To remove the nest, the group sprayed insecticide and gasoline on the nest and base of the tree and then lit the nest on fire. The group failed to extinguish the fire, which developed into a wildfire later named the ""Maple Fire."" The Maple Fire consumed more than 3,300 acres between August and November 2018 and cost approximately $4.2 million to contain. WILLIAMS did not himself set the fire, but was present when others set the fire.
WILLIAMS pleaded guilty in December 2019.
In their sentencing memo, prosecutors highlighted the danger of Wilke and WILLIAMS's conduct. ""Forest fires present a dire and growing threat in this region. They destroy our forests, poison our air, and endanger responders, local residents, recreationalists, and wildlife. When this fire occurred in early August 2018, the Puget Sound region was (as it is today) already experiencing significant smoke from existing wildfires, and the high risk of fire was evident to everyone in Western Washington. Despite this atmosphere, Williams participated in taking the extreme risk of setting fire to a portion of a tree-deep in the forest, in mid-summer. The consequences of that decision-thousands of acres burned, millions of dollars in containment costs, and the release of huge amounts of smoke-were easily foreseeable.""
The case was investigated by the United States Forest Service. The case is being prosecuted by Assistant United States Attorneys Seth Wilkinson and Will Dreher. For any query with respect to this article or any other content requirement, please contact Editor at <email normalizedValue=""mailto:contentservices@htlive.com"">contentservices@htlive.com</email>",US
Planet Alaska : Ten lessons from the fireweed,2022,01,"By Yéilk' Vivian Mork
Yes, I'm thinking about fireweed in the middle of winter. In these dark times, I close my eyes and see fuchsia blossoms buzzing with bumblebees. 2021 was the second year we've been living through this pandemic, and it's been hard. I've been feeling this sense of languishing, so I know you've probably been feeling it too. We are grieving. We've been sick and we've lost friends or family, our elders. Our jobs might've changed, our business shut down. Looking forward to a new year is hard for many of us. There's a lot of anxiety. This brings me back to the fireweed. I'm thinking about fireweed because fireweed gives me hope.
Fireweed is a gift from Tlingit Aaní. In our Lingít language it's called lóol. I look to Tlingit Aaní to help heal, to enliven, to balance my life so this leads me to consider the lessons of the fireweed. What lessons can this flower offer us as we reflect on 2021 and move forward into 2022?
Preparing: As snow keeps falling, we're not thinking about what the plants are doing in the winter, but the fireweed is there preparing for the next year. It's ever-present. It's still there under three feet of snow. The fireweed plant is an expert at preparing. This is one of the most important lessons we receive from this plant. We often think about other seasons as times to prepare for winter, but winter is also a time to prepare for our upcoming busy seasons. Fireweed tea is made from the leaves. High in vitamins A and C and there's an art to fermenting and preparing the tea for use in winter. If you're enjoying fireweed tea in the winter, you've practiced preparedness.
Growth and Tolerance: Fireweed grows along our roadsides, in disturbed areas, in our logged forests, along the borders of meadows, forests, and streams. It expands in a large and long-lived structure of shallow roots. It's tolerant of acidic, neutral, and alkaline soils. We can surely learn growth and tolerance from the fireweed. This winter, let's ask ourselves where we need to grow? In the fireweed's world there's always room for growth.
Beauty: Fireweed are determined to share their beauty. A káx yan aydél wé tl'átgi — We are stewards of the air land and sea. When we walk through a field of fireweed, we sense that the beauty in the moment is just for us, that this plant was created so we could share the world with bees and beauty. We are a part of that beauty.
Persistence: You know why I like fireweed? Because they're one of the first plants to grow up after the land has burned from forest fire. They grow in adversity where nothing else does. Yee gu.aa yáx x'wán. Be strong and have courage. Be a Fireweed!
Reclaim a place and space: Fireweed loves open spaces. It's the plant that returns and reclaims a place and beautifies it. One single plant can produce 80,000 seeds. It doesn't stop feeding places even in winter. We humans can claim a winter space too. Make space in the winter for art, storytelling, renewing relationships, planning, or learning something new. Make space for taking care of our Elders. Reclaim your winter space as a place for dreams.
Roots: Consider where we come from: our clans, the land, our ancestors. Toowú klagé haa t'aakx'í, ka haa naax sateeyí, ka haa kusteeyí. Have pride in our family and our clan and our traditions. I'm both Tlingit and Hawaiian. Alaska and Hawaii are two of my favorite places in the world and my favorite fireweed flavor combo is fireweed and dragon fruit. Fireweed teaches us to be diverse, to know who we are. Our roots are important, they're what holds us to place, and form our first relationships, which is to the land.
Endurance: Over these last few years, we've witnessed how climate change is affecting the fireweed. But still, they endure. Yee toowú klatseen. Be strong. I've seen some strange alien-looking fireweed plants with thicker stalks. I've seen fireweed ""bushes"" rather than single stalk plants. I saw a fireweed that had more than 20 new start tips growing along the entire stalk. I've never seen a single fireweed with that many tips. I've seen fireweed stalks with bent shapes, and some with curled ends, and square stalks (not round), and some with leaves bunched together. But still, they endure.
Community: We are like fireweed rhizomes. We are community so we must to tend to our community. Wooch eenx haa isteeyí, wooch dusxáni, wooch éet wutudasheeyí. When we're together, we love each other, we help each other. Our community is resilient like the fireweed. In fact, fragmenting the rhizomes stimulates the shoots to grow. By harvesting fireweed, we are tending to our community because we're going to make something with it and gift it away. We're also helping the plant community flourish. This tending to our community is important, especially in the winter. We are rhizomes growing from roots, reaching out together to make a forest of fireweed.
Peace: Whenever I walk into a field of fireweed, I sense peace. Tlél kútx i yáa wdawóodlik—Have patience. This past year, in the moments the rain stopped, I walked my dog around the neighborhood and through the fireweed meadows. I picked fireweed blossoms and dried some and infused them in honey. I picked fireweed and brewed a mixed tea of s'ikshaldéen (Labrador tea), blueberries, thimbleberry and ginger.
Healing: Winter can be healing. For our minds it can be a time of reflection. For our bodies it provides rest. Fireweed medicine is good medicine that can assist us. Fireweed can be used as a decongestion for coughs and asthma, ulcers, gastritis, and colitis. Fireweed also has anti-inflammatory properties and has been used for arthritis and rheumatism. Tlingit Aaní provides many healing plants for us.
Fireweed (Chamerion angustifolium) offers us lesson at every stage including the dormant stage as it prepares for spring. Fireweed is a member of the Evening Primrose family (Onagraceae). It's a perennial growing from 4 to 6 feet high up to 9 feet high. It's a valued food for humans and animals too like deer, moose, caribou, rabbits, and muskrats.
Fireweed is my favorite harbinger of spring and it's one of the best first spring vegetables. As soon as the snow is gone, look for it. A lot of people don't notice when fireweed shoots come up, and by the time they do, its past the edible stage. Fireweed stalks, leaves, and blossoms are good to combine with other plants and foods. I've made fireweed scones, honey, jelly, smoothies, muffins, sauces, tea, lemonade, syrup and dressings. Fireweed shoots can be pickled and steamed, and the buds can be added to salads or pickled as capers. I make teas from dried or fermented leaves.
This winter, as we inhabit this winter space, as we layer on socks and long underwear, as we clomp in our cleats across ice and shovel the driveway yet again, think of the fireweed lessons. Fireweed lessons include preparedness, growth and tolerance, beauty, persistence, reclamation, roots, endurance, community, peace, and healing. Maybe we can all try to be a bit of fireweed.
ߦ Yéilk' Vivian Mork writes the Planet Alaska column with her mother, Vivian Faith Prescott. Planet Alaska appears twice monthly in the Capital City Weekly.
Copyright 2022 Juneau Empire",US
"AF PHYSICIAN ADVISES, 'FOLLOW YOUR NOSE' TO EARLY COVID-19 DIAGNOSIS",2020,04,"The following information was released by the U.S. Air Force Air Material Command:
By Gina Marie Giardina, Air Force Research Laboratory
An ear, nose and throat surgeon in the Air Force Research Laboratory assembled a multi-national team of nine other medical professionals to consolidate their front-line observations and recommendations regarding early symptoms of patients infected with COVID-19, in an article that was published online April 15 in The Lancet Infectious Diseases.
Col. (Dr.) Michael Xydakis, who works in AFRLs 711th Human Performance Wing, and this team state that during this pandemic, the sudden onset of difficulty with smell (anosmia) or taste (dysgeusia), with no other nasal congestion or other symptoms, should cause healthcare providers to exercise increased caution.
New onset anosmia likely serves as a reliable proxy marker of infection, explained Xydakis. Diagnosing asymptomatic or mildly symptomatic carriers early and advising self-quarantine is essential to control the spread of this virus. By diagnosing patients infected by COVID-19 early in their disease process, we are essentially going after the kindling before it becomes a forest fire.
Aimed at strengthening the COVID-19 diagnostic criteria for healthcare providers, the article offers recommendations to those treating, testing and diagnosing patients presenting with rapid onset difficulty with smell or taste.
""Most concerning,"" said Xydakis, ""is the recent and compelling evidence that viral shedding and transmission may occur in asymptomatic carriers or mildly symptomatic patients, and the current screening processes for detecting COVID-19 do not include testing taste or smell functions.""
The Lancet Infectious Diseases is recognized as being a global and authoritative forum for infectious diseases research and opinion, explained Xydakis, so we hope this information is rapidly disseminated to other health care providers.
Included in the article are recommendations for healthcare providers with patients who report a sudden loss of smell or taste, but do not have nasal congestion or other symptoms that accompany allergies or the common cold.
The Lancet can be accessed at <url normalizedValue=""https://www.thelancet.com/coronavirus"">https://www.thelancet.com/coronavirus</url>.
Healthcare providers should have a high index of suspicion for COVID-19 in patients who present with new onset anosmia as the only symptom, Xydakis said.
The clinical research that we are conducting in AFRL is intrinsically translational and, in a time of crisis, offers the shortest path for providing senior leadership with actionable, decision-quality, operational information said Xydakis. The same holds true for the national and international partnerships we build along the way.",US
HUMBOLDT-TOIYABE NATIONAL FOREST 4TH OF JULY WEEKEND REMINDERS,2021,07,"SPARKS, Nev., July 2 -- The U.S. Department of Agriculture's U.S. Forest Service unit - Humboldt-Toiyabe National Forest - issued the following press release:
The Fourth of July is a perfect time to enjoy National Forest System (NFS) lands. Visitors are encouraged to stay safe during the holiday weekend by following all fire restrictions, including not possessing or using fireworks, as well as adhering to all local, state and federal guidelines to prevent the spread of COVID-19.
""We expect a large number of people recreating across the Humboldt-Toiyabe National Forest over the Fourth of July weekend,"" said Forest Supervisor Bill Dunkelberger. ""Our highest priorities are ensuring public and employee safety and preventing human-caused wildfires.
Due to high-fire danger, fire restrictions are in place on the Humboldt-Toiaybe National Forest. For up-to-date information on Forest fire restrictions, visit: <url normalizedValue=""https://bit.ly/HTNFFireRestrictions"">https://bit.ly/HTNFFireRestrictions</url>. To find out what other fire restrictions are in place on public lands in Nevada, visit <url normalizedValue=""https://www.nevadafireinfo.org/restrictions-and-closures"">https://www.nevadafireinfo.org/restrictions-and-closures</url>. In California, please check with the agency that manages the land.
The use or possession of fireworks and other pyrotechnic devices on NFS lands is prohibited and subject to confiscation and fines of up to $5,000 and/or six months in jail. In addition, anyone found responsible for starting a wildfire can be held civilly and criminally liable. For information about how to prevent wildfires, please visit <url normalizedValue=""https://www.nevadafireinfo.org/prevention"">https://www.nevadafireinfo.org/prevention</url>.
Although Forest offices and visitor centers remain closed over the holiday, the following list of online and non-contact services are available at <url normalizedValue=""http://bit.ly/HTNFOnline_NonContact_Services"">http://bit.ly/HTNFOnline_NonContact_Services</url>. Also, the Bridgeport Ranger District's Hoover Wilderness Quota Permits are available as follows:
* Advanced Reservation Wilderness Permits can be purchased at <url normalizedValue=""https://www.recreation.gov/permits/445856"">https://www.recreation.gov/permits/445856</url> and available to print within seven days of the entry date.
* Late Reservation Wilderness Permits (formerly known as Walk-In Permits) can be purchased at Recreation.gov within three days of the entry date and are immediately available to print. If you need additional assistance for Late Reservation * Wilderness Permits, please call the Bridgeport Ranger District at 760-932-7070, Monday through Friday, 8:30 a.m. to 4 p.m. PST, or call the Recreation.gov Call Center at 877-444-6777, 10 a.m. to midnight EST, seven days a week.
Non-Quota Trailhead Wilderness Permits are available at the wilderness kiosk in front of the District office.
Please remember that trip leaders are responsible for printing the permit and maintaining a signed hard copy in their possession for the duration of the trip. For more information about Hoover Wilderness permits, visit <url normalizedValue=""https://bit.ly/HTNFHooverWildernessPermits"">https://bit.ly/HTNFHooverWildernessPermits</url>.
Also, remember to recreate responsibly on the Forest by following the tips below:
* Dispersed Camping - When camping outside of developed campgrounds, remember that creating new campsites kills vegetation and leads to soil erosion. If possible, use an existing site, or pick a site where vegetation is absent.
It In, Pack It Out - Inspect the campsite, picnic area, or rest site for trash or spilled foods. Pack out all trash, leftover food, and litter, leaving the place cleaner than you found it.
* Answering Nature's Call - Find a spot at least 200 feet from any water source. Dig a hole 6-8 inches deep and bury human waste. Pack out used toilet paper and feminine products to prevent animals from digging them up.
Be Considerate of Others - Respect each other and yield on the trail. Step to the downhill side of the trail when encountering pack stock. Take breaks and camp away from trails and other visitors. Avoid loud voices or noises and let nature's sounds prevail.
* Pets in the Forest - Pets should be leashed in developed recreation sites, including campgrounds, picnic areas, and trailheads. Along the trail, there may be additional signs instructing pet owners to keep pets on-leash. Remember to pick up and pack out pet waste.
* Respect Access - Stay out of closed areas. Do not trespass and do not cross private lands unless given permission. Leave gates as you found them, whether opened or closed. Do not cut fences as they keep livestock confined. Remember it is illegal to deface or destroy trees, signs, outbuildings, or other objects on federal lands.
* Ride Ethically - Always stay on designated Forest roads and trails as they are designed using industry best practices to be environmentally sustainable. Go over, not around, obstacles to avoid widening trails. Remember it is illegal to ride cross-country on NFS lands, and motorized vehicles and bicycles are not allowed in wilderness areas. For any query with respect to this article or any other content requirement, please contact Editor at <email normalizedValue=""mailto:contentservices@htlive.com"">contentservices@htlive.com</email>",US
Ukrainian officials: Fires out near Chernobyl nuclear plant,2020,04,"KYIV, Ukraine (AP) - Ukrainian emergency officials said Tuesday they have extinguished forest fires in the radiation-contaminated area near the Chernobyl nuclear power plant, but acknowledged that grass was still smoldering in some areas.
Hundreds of firefighters backed by aircraft have been battling several forest fires around Chernobyl for the past 10 days. They contained the initial blazes, but new fires raged closer to the decommissioned plant.
Emergencies Service chief Mykola Chechetkin reported to President Volodymyr Zelenskiy that rains helped firefighters put out the flames, but acknowledged that it would take a few more days to extinguish smoldering grass.
Chechetkin said emergency workers have prevented the fire from engulfing radioactive waste depots and other facilities in Chernobyl.
The 2,600-square-kilometer (1,000-square-mile) Chernobyl Exclusion Zone was established after the 1986 disaster at the plant that sent a cloud of radioactive fallout over much of Europe. The zone is largely unpopulated, although about 200 people have remained despite orders to leave.
Ukraine's emergencies service said radiation levels in the capital, Kyiv, about 100 kilometers (60 miles) south of the plant, were within norms after the forest fires.
President Zelenskiy urged Ukrainians not to panic.
""We all remember the lessons of April 26, 1986,"" he said in an online statement Tuesday. ""No one is hiding the truth from you. Right now the truth is that the situation there is under control.""
On Monday, activists warned that the blazes were getting dangerously close to waste storage facilities.
Yaroslav Yemelyanenko, a member of the public council under the state agency in charge of the closed zone around the plant, said one fire was raging within 2 kilometers (about 1.2 miles) from one of the radioactive waste depots.
Last week, officials said they tracked down a person suspected of triggering the blaze by setting dry grass on fire in the area. The 27-year-old man said he burned grass ""for fun"" and then failed to extinguish the fire when the wind caused it to spread quickly.
On Monday, police said that another local resident burned waste and accidentally set dry grass ablaze, triggering another devastating forest fire. They said he failed to report the fire to the authorities.
Blazes in the area have been a regular occurrence. They often start when residents set dry grass on fire in the early spring - a widespread practice in Ukraine, Russia and some other ex-Soviet nations that often leads to devastating forest fires.",US
"AF PHYSICIAN ADVISES, 'FOLLOW YOUR NOSE' TO EARLY COVID-19 DIAGNOSIS",2020,04,"WRIGHT-PATTERSON AIR FORCE BASE, Ohio, April 15 -- Wright-Patterson Air Force Base issued the following news release:
Col. (Dr.) Michael Xydakis, an ear, nose and throat surgeon in the Air Force Research Laboratory, assembled a multi-national team of nine other medical professionals, who consolidated their front-line observations and recommendations regarding early symptoms of patients infected with COVID-19 in an article that was published online April 15 in The Lancet Infectious Diseases.
Xydakis, who works in AFRL's 711th Human Performance Wing, and this team state that during this pandemic, the sudden onset of difficulty with smell (anosmia) or taste (dysgeusia), with no other nasal congestion or other symptoms, should cause healthcare providers to exercise increased caution.
""New onset anosmia likely serves as a reliable proxy marker of infection,"" explained Xydakis. ""Diagnosing asymptomatic or mildly symptomatic carriers early and advising self-quarantine is essential to control the spread of this virus. By diagnosing patients infected by COVID-19 early in their disease process, we are essentially going after the kindling before it becomes a forest fire.""
Aimed at strengthening the COVID-19 diagnostic criteria for healthcare providers, the article offers recommendations to those treating, testing and diagnosing patients presenting with rapid onset difficulty with smell or taste.
""Most concerning,"" said Xydakis, ""is the recent and compelling evidence that viral shedding and transmission may occur in asymptomatic carriers or mildly symptomatic patients, and the current screening processes for detecting COVID-19 do not include testing taste or smell functions.""
The Lancet Infectious Diseases is recognized as being a global and authoritative forum for infectious diseases research and opinion, explained Xydakis, so we hope this information is rapidly disseminated to other health care providers.
Included in the article are recommendations for healthcare providers with patients who report a sudden loss of smell or taste, but do not have nasal congestion or other symptoms that accompany allergies or the common cold.
Healthcare providers should have a high index of suspicion for COVID-19 in patients who present with new onset anosmia as the only symptom, Xydakis said.
""The clinical research that we are conducting in AFRL is intrinsically translational and, in a time of crisis, offers the shortest path for providing senior leadership with actionable, decision-quality, operational information"" said Xydakis. ""The same holds true for the national and international partnerships we build along the way."" For any query with respect to this article or any other content requirement, please contact Editor at <email normalizedValue=""mailto:contentservices@htlive.com"">contentservices@htlive.com</email>",US
Canada's airports expect massive fee increases and service reductions,2020,10,"U.S., Oct. 28 -- The failure of government and the airline industry to embrace a holistic approach to aviation support during the COVID-19 pandemic is leaving the regional and community airports of this country on the brink of financial collapse and airlines facing massive rates and fees increases in 2021.
Despite a dramatic decline in airline passenger traffic since the COVID-19 pandemic began in March, Canada's smaller airports have carried the financial burden of maintaining their runways, air terminals, and emergency services without access to any previous or current financial aid.
When governments and the public hear of dire situations in the aviation sector the focus tends to be on the major airlines and the major airports that connect Canadians in large urban areas to transborder and international destinations, and that is frustrating to the Regional Community Airports of Canada (RCAC).
""For all Canadians outside of our large urban centers it is regional and local airports that connect the vast regions of our country for essential services, and business and leisure travel"", says Brian Grant, Chair of the RCAC.
""These smaller airports play a critical role in providing remote access and a quality of life that all Canadians expect. Movement of critical food supplies, emergency health care, essential cargo, emergency evacuation, forest fire fighting services are just a few examples of what regional and community airports deliver in addition to passenger air travel"".
According to the RCAC all airports have been hit with severe reductions in revenues and reduced or canceled air service leaving them unable to meet the costs of operating the airports unless governments step in with direct financial support soon.
""2020 has been a year of deep staffing cuts and reducing services, under the pressure of exceptional revenue loses, to meet fixed operational and safety costs dictated by government regulation along with new pandemic related costs to ensure the safety and confidence of travelers"", continues Mr. Grant. ""In 2021 these airports are estimating upwards of 45-60% increases in rates and fees charged to airlines and passengers to continue operations as they exist today. In most cases reserve funds have been depleted and the only possible reductions left are closures of airport infrastructure"".
Recommendations highlighted by the national organization for effective support include:
Ensure regional and community airports' eligibility to all federal COVID assistance programs (i.e. emergency wage subsidy, debit relief and loans programs, and rent subsidy etc.) regardless of governance or ownership model.
Stabilize the Canadian Emergency Wage Subsidy for airports to not less than 75% for 2021 to protect the employment capabilities of these airports for employees.
Provide financial assistance to cover fixed operating costs at 2019 levels to eliminate deficits and avoid rates and fees increases in order to bolster airline and travel activity.
Increase Airport Capital Assistance Program funding to $95 mil annually (an industry request prior to the COVID-19 pandemic dating back more than two years).
Adjust the federal contribution limit to the ACAP to not less than 75% of eligible project costs and relax the eligibility requirement of commercial schedule passenger service for current eligible airports for 2021 through 2025, to ensure the protection and maintenance of essential infrastructure and equipment during the post-pandemic recovery period.
Published by HT Digital Content Services with permission from US Eturbo News. For any query with respect to this article or any other content requirement, please contact Editor at <email normalizedValue=""mailto:contentservices@htlive.com"">contentservices@htlive.com</email>",US
